Description,Price,Price Date,Rating,Reviews
"ASUS ROG Strix NVIDIA GeForce RTX 3070 Ti OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.9-Slot, Super Alloy Power II, GPU Tweak II)",$770.06,08/09/2022,4.7 out of 5 stars,291
"AsiaHorse Graphics Card Cooler with ARGB 5V 3Pin LED and Three 80mm Fans, RGB LED Graphics Card Holder, GPU Bracket Easy Installation-White",$29.99,08/09/2022,3.7 out of 5 stars,355
"GIGABYTE GeForce RTX 3070 Gaming OC 8G (REV2.0) Graphics Card, 3X WINDFORCE Fans, LHR, 8GB 256-bit GDDR6, GV-N3070GAMING OC-8GD REV2.0 Video Card",$548.02,08/09/2022,4.7 out of 5 stars,187
"ASUS TUF Gaming NVIDIA GeForce RTX 3070 Ti OC Edition Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)",$676.75,08/09/2022,4.7 out of 5 stars,448
"GeForce GT 1030 GDDR5 2GB 64 Bit PCI Express 3.0 x 4 DirectX 12 VGA HDMI Output Graphics Card Computer, Video Card for PC Gaming",$105.99,08/09/2022,4.0 out of 5 stars,13
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD REV2.0 Video Card",$399.99,08/09/2022,4.8 out of 5 stars,521
MSI Gaming GeForce RTX 3080 Ti 12GB GDRR6X 320-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3080 Ti Gaming X Trio 12G),"$1,059.99",08/09/2022,4.6 out of 5 stars,235
"GIGABYTE GeForce RTX 3050 Gaming OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB GDDR6 128-bit GDDR6, GV-N3050GAMING OC-8GD Video Card",$329.99,08/09/2022,4.6 out of 5 stars,188
"MAXSUN GEFORCE GT 1030 2GB GDDR5 Video Graphics Card GPU Mini ITX Design, HDMI, DVI-D, Single Fan Cooling System",$132.99,08/09/2022,4.2 out of 5 stars,448
"PowerColor Red Devil AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache",$449.99,08/09/2022,4.6 out of 5 stars,675
"GeForce GT 1030 4GB GDRR4 64 Bit HDMI DVI Output Computer Graphics Card, Single Cooling Fan Video Card for PC Gaming",$121.54,08/09/2022,4.0 out of 5 stars,103
"Diamond Multimedia AMD Radeon HD 5450 PCI Express GDDR3 1GB MEM (DVI, HDMI, VGA) Low Profile Enhanced Heatsink Video Graphics Card (5450PE31G)",$54.99,08/09/2022,4.3 out of 5 stars,482
"ASUS TUF Gaming NVIDIA GeForce RTX 3080 Ti Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)",$949.99,08/09/2022,4.5 out of 5 stars,14
MSI Gaming GeForce RTX 3090 Ti 24GB GDRR6X 384-Bit HDMI/DP Nvlink Tri-Frozr Ampere Architecture OC Graphics Card (RTX 3090 Ti SUPRIM X 24G),"$1,325.43",08/09/2022,4.7 out of 5 stars,49
"ZOTAC Gaming GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, Freeze Fan Stop ZT-A30600H-10M",$420.58,08/09/2022,4.6 out of 5 stars,"1,780"
"ZOTAC Gaming GeForce RTX™ 3060 Ti Twin Edge OC LHR 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Active Fan Control, Freeze Fan Stop ZT-A30610H-10MLHR",$533.67,08/09/2022,4.6 out of 5 stars,630
"EVGA 06G-P4-2068-KR GeForce RTX 2060 KO Ultra Gaming, 6GB GDDR6, Dual Fans, Metal Backplate",$249.99,08/09/2022,4.7 out of 5 stars,"2,637"
"EVGA GeForce GTX 1650 SC Ultra Gaming, 04G-P4-1057-KR, 4GB GDDR5, Dual Fan, Metal Backplate",$191.29,08/09/2022,4.6 out of 5 stars,300
"ASUS ROG Strix NVIDIA GeForce RTX 3070 Ti OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.9-Slot, Super Alloy Power II, GPU Tweak II)",$770.06,08/09/2022,4.7 out of 5 stars,291
"AsiaHorse Graphics Card Cooler with ARGB 5V 3Pin LED and Three 80mm Fans, RGB LED Graphics Card Holder, GPU Bracket Easy Installation-White",$29.99,08/09/2022,3.7 out of 5 stars,355
"GIGABYTE GeForce RTX 3070 Gaming OC 8G (REV2.0) Graphics Card, 3X WINDFORCE Fans, LHR, 8GB 256-bit GDDR6, GV-N3070GAMING OC-8GD REV2.0 Video Card",$548.02,08/09/2022,4.7 out of 5 stars,187
"ASUS TUF Gaming NVIDIA GeForce RTX 3070 Ti OC Edition Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)",$676.75,08/09/2022,4.7 out of 5 stars,448
"GeForce GT 1030 GDDR5 2GB 64 Bit PCI Express 3.0 x 4 DirectX 12 VGA HDMI Output Graphics Card Computer, Video Card for PC Gaming",$105.99,08/09/2022,4.0 out of 5 stars,13
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD REV2.0 Video Card",$399.99,08/09/2022,4.8 out of 5 stars,521
MSI Gaming GeForce RTX 3080 Ti 12GB GDRR6X 320-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3080 Ti Gaming X Trio 12G),"$1,059.99",08/09/2022,4.6 out of 5 stars,235
"GIGABYTE GeForce RTX 3050 Gaming OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB GDDR6 128-bit GDDR6, GV-N3050GAMING OC-8GD Video Card",$329.99,08/09/2022,4.6 out of 5 stars,188
"MAXSUN GEFORCE GT 1030 2GB GDDR5 Video Graphics Card GPU Mini ITX Design, HDMI, DVI-D, Single Fan Cooling System",$132.99,08/09/2022,4.2 out of 5 stars,448
"PowerColor Red Devil AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache",$449.99,08/09/2022,4.6 out of 5 stars,675
"GeForce GT 1030 4GB GDRR4 64 Bit HDMI DVI Output Computer Graphics Card, Single Cooling Fan Video Card for PC Gaming",$121.54,08/09/2022,4.0 out of 5 stars,103
"Diamond Multimedia AMD Radeon HD 5450 PCI Express GDDR3 1GB MEM (DVI, HDMI, VGA) Low Profile Enhanced Heatsink Video Graphics Card (5450PE31G)",$54.99,08/09/2022,4.3 out of 5 stars,482
"ASUS TUF Gaming NVIDIA GeForce RTX 3080 Ti Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)",$949.99,08/09/2022,4.5 out of 5 stars,14
MSI Gaming GeForce RTX 3090 Ti 24GB GDRR6X 384-Bit HDMI/DP Nvlink Tri-Frozr Ampere Architecture OC Graphics Card (RTX 3090 Ti SUPRIM X 24G),"$1,325.43",08/09/2022,4.7 out of 5 stars,49
"ZOTAC Gaming GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, Freeze Fan Stop ZT-A30600H-10M",$420.58,08/09/2022,4.6 out of 5 stars,"1,780"
"ZOTAC Gaming GeForce RTX™ 3060 Ti Twin Edge OC LHR 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Active Fan Control, Freeze Fan Stop ZT-A30610H-10MLHR",$533.67,08/09/2022,4.6 out of 5 stars,630
"EVGA 06G-P4-2068-KR GeForce RTX 2060 KO Ultra Gaming, 6GB GDDR6, Dual Fans, Metal Backplate",$249.99,08/09/2022,4.7 out of 5 stars,"2,637"
"EVGA GeForce GTX 1650 SC Ultra Gaming, 04G-P4-1057-KR, 4GB GDDR5, Dual Fan, Metal Backplate",$191.29,08/09/2022,4.6 out of 5 stars,300
"ASUS ROG Strix NVIDIA GeForce RTX 3070 Ti OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.9-Slot, Super Alloy Power II, GPU Tweak II)",$770.06,08/09/2022,4.7 out of 5 stars,291
"AsiaHorse Graphics Card Cooler with ARGB 5V 3Pin LED and Three 80mm Fans, RGB LED Graphics Card Holder, GPU Bracket Easy Installation-White",$29.99,08/09/2022,3.7 out of 5 stars,355
"GIGABYTE GeForce RTX 3070 Gaming OC 8G (REV2.0) Graphics Card, 3X WINDFORCE Fans, LHR, 8GB 256-bit GDDR6, GV-N3070GAMING OC-8GD REV2.0 Video Card",$548.02,08/09/2022,4.7 out of 5 stars,187
"ASUS TUF Gaming NVIDIA GeForce RTX 3070 Ti OC Edition Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)",$676.75,08/09/2022,4.7 out of 5 stars,448
"GeForce GT 1030 GDDR5 2GB 64 Bit PCI Express 3.0 x 4 DirectX 12 VGA HDMI Output Graphics Card Computer, Video Card for PC Gaming",$105.99,08/09/2022,4.0 out of 5 stars,13
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD REV2.0 Video Card",$399.99,08/09/2022,4.8 out of 5 stars,521
MSI Gaming GeForce RTX 3080 Ti 12GB GDRR6X 320-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3080 Ti Gaming X Trio 12G),"$1,059.99",08/09/2022,4.6 out of 5 stars,235
"GIGABYTE GeForce RTX 3050 Gaming OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB GDDR6 128-bit GDDR6, GV-N3050GAMING OC-8GD Video Card",$329.99,08/09/2022,4.6 out of 5 stars,188
"MAXSUN GEFORCE GT 1030 2GB GDDR5 Video Graphics Card GPU Mini ITX Design, HDMI, DVI-D, Single Fan Cooling System",$132.99,08/09/2022,4.2 out of 5 stars,448
"PowerColor Red Devil AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache",$449.99,08/09/2022,4.6 out of 5 stars,675
"GeForce GT 1030 4GB GDRR4 64 Bit HDMI DVI Output Computer Graphics Card, Single Cooling Fan Video Card for PC Gaming",$121.54,08/09/2022,4.0 out of 5 stars,103
"Diamond Multimedia AMD Radeon HD 5450 PCI Express GDDR3 1GB MEM (DVI, HDMI, VGA) Low Profile Enhanced Heatsink Video Graphics Card (5450PE31G)",$54.99,08/09/2022,4.3 out of 5 stars,482
"ASUS TUF Gaming NVIDIA GeForce RTX 3080 Ti Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)",$949.99,08/09/2022,4.5 out of 5 stars,14
MSI Gaming GeForce RTX 3090 Ti 24GB GDRR6X 384-Bit HDMI/DP Nvlink Tri-Frozr Ampere Architecture OC Graphics Card (RTX 3090 Ti SUPRIM X 24G),"$1,325.43",08/09/2022,4.7 out of 5 stars,49
"ZOTAC Gaming GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, Freeze Fan Stop ZT-A30600H-10M",$420.58,08/09/2022,4.6 out of 5 stars,"1,780"
"ZOTAC Gaming GeForce RTX™ 3060 Ti Twin Edge OC LHR 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Active Fan Control, Freeze Fan Stop ZT-A30610H-10MLHR",$533.67,08/09/2022,4.6 out of 5 stars,630
"EVGA 06G-P4-2068-KR GeForce RTX 2060 KO Ultra Gaming, 6GB GDDR6, Dual Fans, Metal Backplate",$249.99,08/09/2022,4.7 out of 5 stars,"2,637"
"EVGA GeForce GTX 1650 SC Ultra Gaming, 04G-P4-1057-KR, 4GB GDDR5, Dual Fan, Metal Backplate",$191.29,08/09/2022,4.6 out of 5 stars,300
"ASUS ROG Strix NVIDIA GeForce RTX 3070 Ti OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.9-Slot, Super Alloy Power II, GPU Tweak II)",$770.06,08/09/2022,4.7 out of 5 stars,291
"AsiaHorse Graphics Card Cooler with ARGB 5V 3Pin LED and Three 80mm Fans, RGB LED Graphics Card Holder, GPU Bracket Easy Installation-White",$29.99,08/09/2022,3.7 out of 5 stars,355
"GIGABYTE GeForce RTX 3070 Gaming OC 8G (REV2.0) Graphics Card, 3X WINDFORCE Fans, LHR, 8GB 256-bit GDDR6, GV-N3070GAMING OC-8GD REV2.0 Video Card",$548.02,08/09/2022,4.7 out of 5 stars,187
"ASUS TUF Gaming NVIDIA GeForce RTX 3070 Ti OC Edition Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)",$676.75,08/09/2022,4.7 out of 5 stars,448
"GeForce GT 1030 GDDR5 2GB 64 Bit PCI Express 3.0 x 4 DirectX 12 VGA HDMI Output Graphics Card Computer, Video Card for PC Gaming",$105.99,08/09/2022,4.0 out of 5 stars,13
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD REV2.0 Video Card",$399.99,08/09/2022,4.8 out of 5 stars,521
MSI Gaming GeForce RTX 3080 Ti 12GB GDRR6X 320-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3080 Ti Gaming X Trio 12G),"$1,059.99",08/09/2022,4.6 out of 5 stars,235
"GIGABYTE GeForce RTX 3050 Gaming OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB GDDR6 128-bit GDDR6, GV-N3050GAMING OC-8GD Video Card",$329.99,08/09/2022,4.6 out of 5 stars,188
"MAXSUN GEFORCE GT 1030 2GB GDDR5 Video Graphics Card GPU Mini ITX Design, HDMI, DVI-D, Single Fan Cooling System",$132.99,08/09/2022,4.2 out of 5 stars,448
"PowerColor Red Devil AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache",$449.99,08/09/2022,4.6 out of 5 stars,675
"GeForce GT 1030 4GB GDRR4 64 Bit HDMI DVI Output Computer Graphics Card, Single Cooling Fan Video Card for PC Gaming",$121.54,08/09/2022,4.0 out of 5 stars,103
"Diamond Multimedia AMD Radeon HD 5450 PCI Express GDDR3 1GB MEM (DVI, HDMI, VGA) Low Profile Enhanced Heatsink Video Graphics Card (5450PE31G)",$54.99,08/09/2022,4.3 out of 5 stars,482
"ASUS TUF Gaming NVIDIA GeForce RTX 3080 Ti Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)",$949.99,08/09/2022,4.5 out of 5 stars,14
MSI Gaming GeForce RTX 3090 Ti 24GB GDRR6X 384-Bit HDMI/DP Nvlink Tri-Frozr Ampere Architecture OC Graphics Card (RTX 3090 Ti SUPRIM X 24G),"$1,325.43",08/09/2022,4.7 out of 5 stars,49
"ZOTAC Gaming GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, Freeze Fan Stop ZT-A30600H-10M",$420.58,08/09/2022,4.6 out of 5 stars,"1,780"
"ZOTAC Gaming GeForce RTX™ 3060 Ti Twin Edge OC LHR 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Active Fan Control, Freeze Fan Stop ZT-A30610H-10MLHR",$533.67,08/09/2022,4.6 out of 5 stars,630
"EVGA 06G-P4-2068-KR GeForce RTX 2060 KO Ultra Gaming, 6GB GDDR6, Dual Fans, Metal Backplate",$249.99,08/09/2022,4.7 out of 5 stars,"2,637"
"EVGA GeForce GTX 1650 SC Ultra Gaming, 04G-P4-1057-KR, 4GB GDDR5, Dual Fan, Metal Backplate",$191.29,08/09/2022,4.6 out of 5 stars,300
"ASUS ROG Strix NVIDIA GeForce RTX 3070 Ti OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.9-Slot, Super Alloy Power II, GPU Tweak II)",$770.06,08/09/2022,4.7 out of 5 stars,291
"AsiaHorse Graphics Card Cooler with ARGB 5V 3Pin LED and Three 80mm Fans, RGB LED Graphics Card Holder, GPU Bracket Easy Installation-White",$29.99,08/09/2022,3.7 out of 5 stars,355
"GIGABYTE GeForce RTX 3070 Gaming OC 8G (REV2.0) Graphics Card, 3X WINDFORCE Fans, LHR, 8GB 256-bit GDDR6, GV-N3070GAMING OC-8GD REV2.0 Video Card",$548.02,08/09/2022,4.7 out of 5 stars,187
"ASUS TUF Gaming NVIDIA GeForce RTX 3070 Ti OC Edition Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)",$676.75,08/09/2022,4.7 out of 5 stars,448
"GeForce GT 1030 GDDR5 2GB 64 Bit PCI Express 3.0 x 4 DirectX 12 VGA HDMI Output Graphics Card Computer, Video Card for PC Gaming",$105.99,08/09/2022,4.0 out of 5 stars,13
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD REV2.0 Video Card",$399.99,08/09/2022,4.8 out of 5 stars,521
MSI Gaming GeForce RTX 3080 Ti 12GB GDRR6X 320-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3080 Ti Gaming X Trio 12G),"$1,059.99",08/09/2022,4.6 out of 5 stars,235
"GIGABYTE GeForce RTX 3050 Gaming OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB GDDR6 128-bit GDDR6, GV-N3050GAMING OC-8GD Video Card",$329.99,08/09/2022,4.6 out of 5 stars,188
"MAXSUN GEFORCE GT 1030 2GB GDDR5 Video Graphics Card GPU Mini ITX Design, HDMI, DVI-D, Single Fan Cooling System",$132.99,08/09/2022,4.2 out of 5 stars,448
"PowerColor Red Devil AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache",$449.99,08/09/2022,4.6 out of 5 stars,675
"GeForce GT 1030 4GB GDRR4 64 Bit HDMI DVI Output Computer Graphics Card, Single Cooling Fan Video Card for PC Gaming",$121.54,08/09/2022,4.0 out of 5 stars,103
"Diamond Multimedia AMD Radeon HD 5450 PCI Express GDDR3 1GB MEM (DVI, HDMI, VGA) Low Profile Enhanced Heatsink Video Graphics Card (5450PE31G)",$54.99,08/09/2022,4.3 out of 5 stars,482
"ASUS TUF Gaming NVIDIA GeForce RTX 3080 Ti Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)",$949.99,08/09/2022,4.5 out of 5 stars,14
MSI Gaming GeForce RTX 3090 Ti 24GB GDRR6X 384-Bit HDMI/DP Nvlink Tri-Frozr Ampere Architecture OC Graphics Card (RTX 3090 Ti SUPRIM X 24G),"$1,325.43",08/09/2022,4.7 out of 5 stars,49
"ZOTAC Gaming GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, Freeze Fan Stop ZT-A30600H-10M",$420.58,08/09/2022,4.6 out of 5 stars,"1,780"
"ZOTAC Gaming GeForce RTX™ 3060 Ti Twin Edge OC LHR 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Active Fan Control, Freeze Fan Stop ZT-A30610H-10MLHR",$533.67,08/09/2022,4.6 out of 5 stars,630
"EVGA 06G-P4-2068-KR GeForce RTX 2060 KO Ultra Gaming, 6GB GDDR6, Dual Fans, Metal Backplate",$249.99,08/09/2022,4.7 out of 5 stars,"2,637"
"EVGA GeForce GTX 1650 SC Ultra Gaming, 04G-P4-1057-KR, 4GB GDDR5, Dual Fan, Metal Backplate",$191.29,08/09/2022,4.6 out of 5 stars,300
"ASUS ROG Strix NVIDIA GeForce RTX 3070 Ti OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.9-Slot, Super Alloy Power II, GPU Tweak II)",$770.06,08/09/2022,4.7 out of 5 stars,291
"AsiaHorse Graphics Card Cooler with ARGB 5V 3Pin LED and Three 80mm Fans, RGB LED Graphics Card Holder, GPU Bracket Easy Installation-White",$29.99,08/09/2022,3.7 out of 5 stars,355
"GIGABYTE GeForce RTX 3070 Gaming OC 8G (REV2.0) Graphics Card, 3X WINDFORCE Fans, LHR, 8GB 256-bit GDDR6, GV-N3070GAMING OC-8GD REV2.0 Video Card",$548.02,08/09/2022,4.7 out of 5 stars,187
"ASUS TUF Gaming NVIDIA GeForce RTX 3070 Ti OC Edition Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)",$676.75,08/09/2022,4.7 out of 5 stars,448
